Follower Athlete ID,Follow Status,Favorite Status
95984633,Accepted,""
182332213,Accepted,""
104176786,Accepted,""
146267760,Accepted,""
62897799,Accepted,""
17467684,Accepted,""
131067909,Accepted,""
124977697,Accepted,""
42054904,Accepted,""
65794720,Accepted,""
73013748,Accepted,""
26899103,Accepted,""
70478363,Accepted,""
38650049,Accepted,""
62535838,Accepted,""
15559615,Accepted,""
61101094,Accepted,""
