Join Date,Club Name
"Sep 6, 2020, 11:42:15 PM",The Strava Club
"Jan 28, 2021, 2:55:12 AM",St. Jude Run Club
"Aug 11, 2024, 9:32:59 PM",IRONMAN
"Apr 17, 2025, 2:02:25 AM",Team Runna
