Comment Date,Comment
"Jan 25, 2021, 12:15:24 AM",Haha you just gotta really want to destroy your knees. 
"Feb 10, 2024, 12:19:52 AM",Sounds rough 😬
"Mar 31, 2025, 12:31:41 AM",Someone’s unsupervised pitbull came sprinting out of their garage and chased me for a bit. Gonna start bringing dog spray with me 😡
"Dec 4, 2025, 7:38:30 PM",You were right about the shape 😂
